QUANTITY                                ,PRODUCT_ID ,LOCATION_ID,BARCODE             ,PRODUCT_CODE        ,LOCATION_DESC                                               
                                  9.0000,-2147447553,002        ,7630000240194       ,30400000101413      ,MAMUL DEPO                                                  
                                  3.0000,-2147447547,002        ,7630000240231       ,30009200101401      ,MAMUL DEPO                                                  
                                   .0000,-2147447544,001        ,7630000240279       ,30007100101438      ,KAMPANYA DEPO                                               
                                  1.0000,-2147447543,001        ,7630000240262       ,30007100101427      ,KAMPANYA DEPO                                               
                                  3.0000,-2147447542,002        ,7630000240286       ,30016800101445      ,MAMUL DEPO                                                  
                                  1.0000,-2147447540,001        ,7630000240293       ,30008400101436      ,KAMPANYA DEPO                                               
                                   .0000,-2147447538,001        ,7630000240316       ,30008300101415      ,KAMPANYA DEPO                                               
                                  1.0000,-2147447537,002        ,7630000240330       ,30004100101400      ,MAMUL DEPO                                                  
                                   .0000,-2147447536,001        ,7630000240347       ,30014000101446      ,KAMPANYA DEPO                                               
                                   .0000,-2147447533,001        ,7630000240378       ,30000000101403      ,KAMPANYA DEPO                                               
                                  1.0000,-2147447531,002        ,7630000240392       ,30400000101420      ,MAMUL DEPO                                                  
                                  1.0000,-2147447521,001        ,7630000240408       ,30004300101403      ,KAMPANYA DEPO                                               
                                  1.0000,-2147447520,002        ,7630000240422       ,30400000101433      ,MAMUL DEPO                                                  
                                   .0000,-2147447460,002        ,7630000240903       ,02046D004001101     ,MAMUL DEPO                                                  
                                   .0000,-2147447460,001        ,7630000240903       ,02046D004001101     ,KAMPANYA DEPO                                               
                                   .0000,-2147447457,002        ,7630000240972       ,02046D00400216      ,MAMUL DEPO                                                  
                                   .0000,-2147447457,005        ,7630000240972       ,02046D00400216      ,KAZAKÝSTAN DEPO                                             
                                   .0000,-2147447454,002        ,7630000240965       ,02046D004002101     ,MAMUL DEPO                                                  
                                  5.0000,-2147447454,001        ,7630000240965       ,02046D004002101     ,KAMPANYA DEPO                                               
                                   .0000,-2147447446,002        ,7630000241085       ,02046D00400516      ,MAMUL DEPO                                                  
                                   .0000,-2147447446,005        ,7630000241085       ,02046D00400516      ,KAZAKÝSTAN DEPO                                             
